Time,HA_MISG1,HA_MISG2,HA_MISG3,HpA_MISG1,HpA_MISG2,HpA_MISG3
20,16532.7,18960.9,16183.9,9661.53,8541.08,11086.3
40,16524.6,18955.5,16171,9656.53,8546.43,11090.9
60,16517.1,18943.9,16171.6,9660.69,8547.46,11086.2
80,16516,18945.4,16155.8,9664.89,8540.25,11092.4
100,16527,18936.9,16164.9,9665.58,8544.25,11077
120,16515.5,18936.9,16164.9,9662.29,8541.87,11085.4
140,16507.9,18947.8,16164,9651.02,8547.47,11080.8
160,16527.2,18949.9,16152.1,9658.96,8543.88,11070.2
180,16519.2,18931.5,16161.7,9657.99,8547.77,11086.2
200,16516.9,18927.6,16160.9,9653.82,8542.57,11077.7
220,16527.3,18923.9,16147.2,9657.06,8541.93,11087.4
240,16511.3,18914,16166.1,9655.44,8541.26,11085.4
260,16510.5,18929.8,16176.1,9660.56,8542.93,11083.5
280,16524.6,18913.9,16147.8,9657.75,8545.97,11082.3
300,16501.9,18920.9,16160.8,9658.21,8543.18,11083.4
320,16509.8,18922.4,16147.6,9652.95,8538.4,11087.3
340,16502.3,18931,16174.7,9658.38,8543.83,11090.4
360,16497.8,18922.3,16158.8,9660.06,8539.87,11087
380,16510.4,18916,16153.2,9659.77,8538.42,11092.1
400,16495.8,18912.5,16166.3,9660.59,8539.06,11087
420,16497.8,18930.4,16170.8,9656.56,8534.2,11091.3
440,16471,18911.8,16167.5,9661.19,8544.88,11105
460,16491.6,18899.1,16163.7,9654.75,8542.66,11101.1
480,16493,18912.4,16159.9,9660.69,8540.19,11086.8
500,16467.8,18906.5,16151.8,9661.02,8543.97,11086.7
520,16479.4,18890.2,16154.1,9658.12,8538.56,11091.6
540,16464.6,18910.3,16154.6,9658.29,8543.56,11087.3
560,16458.5,18881.1,16147.1,9661.19,8541.32,11085.6
580,16460.2,18889.7,16145.6,9657.75,8543.6,11094.3
600,16468.4,18885.9,16141.3,9662.52,8542.44,11092.5
620,16465,18888.1,16132.4,9665.58,8546.32,11091.7
640,16483.8,18869.7,16138.6,9658.83,8545.05,11094.9
660,16482.3,18860.6,16142.4,9660.97,8540.84,11086.5
680,16472.8,18890,16132.7,9665.01,8545.87,11087.7
700,16469.1,18872.2,16128.2,9673.55,8539.08,11085.6
720,16453.8,18881.6,16142.2,9661.32,8547.88,11090.9
740,16470.5,18885.1,16131.5,9654.86,8543.04,11091
760,16472.3,18886,16126.3,9657.06,8542.98,11097.1
780,16463.6,18865.7,16129.6,9663.63,8544.37,11106.6
800,16483.1,18885.9,16106.3,9668.7,8543.43,11107.9
820,16471.4,18881.2,16122.5,9667.21,8547.64,11108.5
840,16459.5,18867.4,16131.8,9664.15,8549.58,11101.9
860,16454.7,18886.1,16136.1,9658.96,8544.85,11100.2
880,16448.2,18865.2,16129.6,9656.24,8547.91,11100.1
900,16470.3,18876.4,16135.4,9653.37,8545.02,11095.5
920,16460.9,18876.8,16141,9655.89,8543.5,11093.6
940,16458.5,18856.4,16124.3,9661.67,8543.76,11095.7
960,16442.9,18875.8,16127,9668.74,8543.49,11094.3
980,16464.6,18878.2,16110.1,9669.21,8542.19,11097.8
1000,16457.5,18865.4,16124.4,9667.75,8552.6,11088.4
1020,16462.6,18867.5,16124.7,9663.6,8548.13,11087.9
1040,16467,18861.2,16115.9,9664.67,8545.74,11079.2
1060,16473.4,18856.9,16108.1,9664.83,8548.64,11086.2
1080,16470.1,18852,16117.6,9664.28,8547.74,11087.1
1100,16453.3,18852.2,16122.3,9663.24,8540.33,11089.9
1120,16469.9,18848.3,16126.2,9666.66,8538,11087.6
1140,16453.5,18843.7,16106.7,9658.99,8545.55,11089.6
1160,16451.2,18855.9,16118.2,9665.5,8547.31,11091.1
1180,16463.3,18858.2,16116,9656.42,8544.69,11093
1200,16446.7,18838.9,16109.5,9662.31,8548.83,11097.3
1220,16548.3,19003.8,16217.3,9659.55,8547.17,11080.6
1240,16716.4,19249.5,16391.3,9678.45,8555.43,11097.9
1260,16818.3,19359.7,16480.7,9695.48,8562.01,11110
1280,16874.5,19438.3,16536.1,9699.35,8573.14,11124.1
1300,16916.6,19499.6,16611.2,9698.52,8574.58,11131.2
1320,16946.8,19548.2,16620.6,9704.32,8579.43,11132.2
1340,16956.9,19598.4,16658.2,9704.32,8583.53,11141.5
1360,16987.1,19637.6,16692.1,9721.17,8582.86,11149
1380,17006.3,19658.6,16707.2,9717.33,8586.37,11156.5
1400,17017.5,19698.9,16727.2,9727.67,8590.68,11158.6
1420,17052.7,19735,16749.4,9727.53,8598.91,11167.7
1440,17064.6,19739.3,16760.8,9728.37,8600.7,11166.6
1460,17074.2,19780.4,16781,9730.37,8601.01,11166.7
1480,17121.7,19782.6,16806.7,9746.85,8610.98,11172.6
1500,17129,19801.7,16829.1,9741.69,8613.17,11175.9
1520,17143.5,19831.1,16847,9740.05,8603.49,11175.9
1540,17146.5,19857.9,16839.8,9744.03,8609.18,11180.2
1560,17143,19859.9,16861.7,9744.89,8615.88,11174.5
1580,17149,19855,16865.8,9743.9,8618.53,11181.5
1600,17174.8,19868,16893.8,9747.07,8614.58,11180
1620,17199.5,19901,16896.3,9751.16,8611.42,11185.9
1640,17190.7,19894.2,16911.2,9751.73,8620.46,11186.5
1660,17201.7,19919.6,16905.8,9755.49,8614.19,11182.9
1680,17189.7,19930,16925.4,9750.92,8619.9,11185.9
1700,17197.6,19962.3,16940.9,9755.57,8614.62,11186
1720,17214.1,19964.2,16940,9750.97,8616.29,11199.3
1740,17228.6,19973.4,16955.6,9760.13,8624.92,11193.2
1760,17236,19993.6,16964.6,9767.53,8621.27,11199.8
1780,17221,19967.2,16968,9761.28,8627.83,11197.3
1800,17219.3,19981.7,16973.2,9767.23,8624.9,11199.2
1820,17244.7,20022.6,16984.2,9765.37,8623.86,11203.8
1840,17257.2,20030.6,17004.5,9770.09,8628.27,11202.9
1860,17267.8,20025.4,17008.8,9765.87,8624.55,11212.4
1880,17270.2,20044.8,16997.9,9773.91,8624.51,11210.5
1900,17274.7,20054.1,17021.6,9772.41,8629.69,11218.8
1920,17275.8,20044.5,17007.2,9773.04,8641.54,11214.3
1940,17280.7,20066.2,17030,9769.15,8624.99,11213.5
1960,17300,20072.7,17025.1,9773.15,8627.91,11213.6
1980,17281.2,20098.6,17018.4,9773.44,8631.35,11215.6
2000,17314.9,20081.4,17045.5,9778.04,8643.43,11223.4
2020,17309.5,20097.5,17036.3,9780.95,8642.19,11226.4
2040,17328.6,20088.6,17049.1,9783.08,8633.36,11217.9
2060,17334.4,20105.4,17039.1,9775.77,8637.74,11214
2080,17320.1,20124.8,17049.1,9782.44,8639.62,11226.9
2100,17325.4,20105.4,17063.1,9785.49,8647.79,11219.3
2120,17338.8,20110.3,17043.5,9777.31,8643.15,11225.2
2140,17332.3,20125.7,17062.5,9779.91,8639.79,11220.9
2160,17368.1,20140.3,17061.3,9783.85,8646.83,11230
2180,17334.6,20136.4,17066.3,9784.63,8640.97,11222.3
2200,17345.3,20129.7,17062.5,9780,8645.27,11214.9
2220,17341.8,20118.8,17070.3,9779.21,8643.67,11229.4
2240,17351.1,20157.8,17072.9,9782.12,8648.38,11230.1
2260,17362,20176.6,17094.4,9790.34,8652.64,11233.5
2280,17373.7,20179.8,17078.8,9786.2,8648.56,11225
2300,17375.7,20171.9,17103.9,9787.52,8654.66,11223.3
2320,17377.2,20190.8,17097.5,9783.86,8649.78,11228.5
2340,17391.5,20210,17106.5,9787.26,8649.8,11230.2
2360,17378.4,20197.1,17100.3,9790.89,8652.6,11237.2
2380,17372.1,20210.3,17114,9793.1,8651.27,11231.7
2400,17384.4,20197.7,17125.6,9795.23,8653.57,11243
2420,17267,20044.3,16998.9,9805.44,8664.34,11246.1
2440,17077.6,19758.3,16810.9,9786.42,8648.69,11228.9
2460,17017.7,19648.5,16758.1,9772.7,8637.71,11206.2
2480,16955.8,19588.7,16708.4,9771.72,8642.14,11211.3
2500,16920.5,19524.1,16663.6,9758.05,8633.65,11200.5
2520,16897.5,19502.3,16624,9747.07,8630.23,11196
2540,16871.7,19472.1,16597.9,9741.39,8627.11,11197.4
2560,16837.7,19402.3,16585.6,9737.81,8621.21,11191.2
2580,16828.5,19387.8,16555.1,9740.8,8619.4,11188.8
2600,16799.6,19378.3,16527.2,9742.9,8615.21,11176
2620,16810,19371.3,16525.8,9740.27,8610.24,11180.2
2640,16798.3,19335.2,16512.4,9737.64,8607.72,11182.6
2660,16782.6,19324.6,16499.8,9740.53,8603.79,11173.8
2680,16783.1,19325.4,16498.6,9741.74,8607.44,11169.5
2700,16754.4,19292.1,16474.4,9733.34,8606.62,11175.5
2720,16740.9,19264,16454,9731.62,8604.23,11171.6
2740,16735.3,19247.6,16449.1,9732.15,8605.15,11168.1
2760,16737.3,19252,16456.8,9723.35,8606.72,11171.1
2780,16739.1,19231.5,16441.3,9723.05,8604.51,11167.5
2800,16727.5,19236.4,16435.3,9728.11,8605.79,11166.7
2820,16708,19221.9,16413,9724.79,8611.42,11160.2
2840,16698,19221.9,16413,9726.36,8606.99,11160.1
2860,16715.1,19216.2,16413.5,9728.28,8608.77,11163.2
2880,16692.7,19200.9,16401.9,9722.87,8604.28,11154.9
2900,16688.6,19208.2,16410.1,9721.7,8610.63,11151.7
2920,16687.4,19193.1,16404.3,9720.93,8605.36,11162.3
2940,16701.1,19167,16393.3,9715.1,8606.41,11158.6
2960,16697.9,19183.6,16391.4,9723.1,8603.88,11151.9
2980,16688.2,19181.2,16395.9,9721.04,8600.35,11153.8
3000,16675.7,19187.9,16399.8,9716.04,8598.57,11150.1
3020,16663.1,19190.5,16386,9716.79,8607.92,11157.5
3040,16660.3,19176.3,16375.6,9717.38,8609.48,11149.6
3060,16671.5,19146.3,16384.5,9716.66,8603.52,11153
3080,16661.5,19161.9,16383,9718.89,8607.42,11155.2
3100,16662.4,19163.6,16374.5,9719.97,8605.49,11158.6
3120,16638,19152.8,16358,9718.06,8613.37,11156.4
3140,16654.2,19126.4,16353,9723.73,8614.92,11158.1
3160,16655.7,19135.8,16343.1,9726.21,8604.89,11157.1
3180,16664.1,19134.9,16354.5,9718.07,8607.46,11160.3
3200,16636.1,19139.7,16348.4,9722.9,8608.1,11162.4
3220,16643.9,19131.6,16351.8,9718.17,8608.31,11157.2
3240,16631.8,19107.7,16354,9727.53,8607.84,11165.7
3260,16648.1,19098.4,16345.9,9721.17,8605.32,11165.5
3280,16649.7,19104.1,16346.1,9721.36,8613.46,11162.4
3300,16632.7,19088.4,16327.4,9716.86,8609.36,11166.4
3320,16633.1,19112.6,16332.9,9726.8,8606.66,11155.5
3340,16623,19090.5,16334.2,9720.89,8603.52,11153
3360,16633,19097.1,16331,9714.48,8604.42,11155.6
3380,16615.8,19104.4,16331.9,9721.27,8604.78,11149.5
3400,16618.7,19079,16326.5,9716.25,8609.06,11152.4
3420,16632.4,19087.5,16309.5,9725.15,8608.6,11152.6
3440,16639.7,19075.6,16322,9722.31,8606.43,11151.6
3460,16639.3,19098.4,16314.6,9711.55,8605.21,11155.7
3480,16632,19083.1,16312.2,9715.32,8606.18,11153.7
3500,16607.6,19059.8,16310.4,9721.04,8608.02,11155.4
3520,16619.5,19073.8,16302.3,9718.39,8605.05,11153.7
3540,16607.7,19073.2,16312.7,9714.09,8597.56,11150.6
3560,16602.5,19055.6,16308.3,9719.44,8610.58,11152.8
3580,16592.8,19065.2,16304.8,9712.8,8611.91,11149.2
3600,16599.5,19062.3,16307.1,9713.31,8609.55,11151.2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
